country,year,pop,continent,gdpPercap,lifeExp
00000169254,2019-10,111600000,cz,288,12.324682
00000169254,2019-12,153000000,cz,414,8.822003
00000175231,2019-04,2000000,cz,20,0.278474
00000175231,2019-08,2600000,cz,6,0.451624
00000175231,2019-10,5600000,cz,30,0.618443
00000175231,2019-11,9000000,cz,34,0.747819
00000175231,2020-01,18400000,cz,94,1.886019
00000175231,2020-02,18800000,cz,4,2.651996
00000175250,2019-04,10800000,cz,108,1.503759
00000175250,2019-05,19000000,cz,82,3.118844
00000175250,2019-06,25000000,cz,60,4.17432
00000175250,2019-09,38300000,cz,133,4.466472
00000175250,2019-11,59800000,cz,215,4.968841
00000175250,2019-12,102900000,cz,431,5.93323
00000175250,2020-01,122500000,cz,196,12.556376
00000175269,2019-03,15700000,cz,157,2.333185
00000175269,2019-05,25700000,cz,100,4.218647
00000175269,2019-06,34500000,cz,88,5.760561
00000175269,2019-07,46300000,cz,118,5.838588
00000175269,2019-09,68000000,cz,217,7.930029
00000175269,2019-10,86300000,cz,183,9.530646
00000175269,2019-11,103500000,cz,172,8.599917
00000177225,2019-05,23900000,cz,239,3.923178
00000177225,2019-07,45600000,cz,217,5.750315
00000177225,2019-10,76800000,cz,312,8.481502
00000177225,2020-01,95500000,cz,187,9.788848
00000177249,2019-04,5500000,cz,55,0.765803
00000177249,2019-06,9700000,cz,42,1.619636
00000177249,2019-09,17400000,cz,77,2.029155
00000177249,2020-01,27600000,cz,102,2.829028
00000184042,2019-03,25600000,cz,256,3.804429
00000184042,2019-07,49000000,cz,234,6.179067
00000184042,2019-10,76800000,cz,278,8.481502
00000184042,2020-01,116400000,cz,396,11.931119
00000184886,2019-03,13700000,cz,137,2.035964
00000184886,2019-05,21300000,cz,76,3.496389
00000184886,2019-06,23300000,cz,20,3.890466
00000184886,2019-07,27500000,cz,42,3.467844
00000184886,2019-08,31600000,cz,41,5.48897
00000184886,2019-09,35500000,cz,39,4.139942
00000184886,2019-12,39700000,cz,42,2.289108
00000185640,2019-04,400000,cz,4,0.055695
00000186041,2019-03,62600000,cz,626,9.303017
00000186041,2019-06,96500000,cz,339,16.112874
00000186041,2019-08,147300000,cz,508,25.586243
00000186041,2019-09,209800000,cz,625,24.466472
00000186041,2019-10,269900000,cz,601,29.806737
00000186041,2019-11,342200000,cz,723,28.433735
00000186041,2019-12,431900000,cz,897,24.903419
00000186041,2020-02,494200000,cz,623,69.713641
00000186102,2019-03,3800000,cz,38,0.56472
00000186102,2019-06,6800000,cz,30,1.135415
00000186102,2019-07,17000000,cz,102,2.143758
00000186395,2019-05,4500000,cz,45,0.738674
00000186395,2019-07,7500000,cz,30,0.945776
00000186395,2019-08,11200000,cz,37,1.945458
00000186395,2019-11,16000000,cz,48,1.329456
00000186395,2020-01,21200000,cz,52,2.173022
00000187856,2019-03,4400000,cz,44,0.653886
00000187856,2019-06,6800000,cz,24,1.135415
00000187856,2019-07,20700000,cz,139,2.61034
00000190689,2019-03,12100000,cz,121,1.798187
00000190689,2019-04,20800000,cz,87,2.896129
00000190689,2019-05,30500000,cz,97,5.006566
00000190689,2019-06,37300000,cz,68,6.228085
00000190689,2019-10,50900000,cz,136,5.621204
00000190689,2020-02,63300000,cz,124,8.929327
00000193490,2019-04,15300000,cz,153,2.130326
00000193490,2019-07,31400000,cz,161,3.959647
00000193490,2019-08,46400000,cz,150,8.059753
00000193490,2019-09,65800000,cz,194,7.673469
00000193490,2019-10,84100000,cz,183,9.287686
00000193937,2019-04,1300000,cz,13,0.181008
00000193937,2019-05,2100000,cz,8,0.344714
00000193937,2019-08,3400000,cz,13,0.590585
00000193937,2019-10,5000000,cz,16,0.552181
00000193937,2019-12,6700000,cz,17,0.386323
00000193937,2020-01,7900000,cz,12,0.809758
00000198591,2019-04,200000,cz,2,0.027847
00000198591,2019-08,300000,cz,1,0.05211
00000198591,2019-11,400000,cz,1,0.033236
00000198591,2020-01,500000,cz,1,0.051251
00000201904,2019-05,7400000,cz,74,1.214708
00000201904,2019-06,12500000,cz,51,2.08716
00000201904,2019-07,19800000,cz,73,2.496847
00000201904,2019-08,26000000,cz,62,4.516241
00000201904,2019-10,34300000,cz,83,3.787962
00000201904,2019-11,42100000,cz,78,3.49813
00000201904,2020-01,51200000,cz,91,5.248052
00000201904,2020-02,58100000,cz,69,8.195796
00000202079,2019-03,6900000,cz,69,1.025412
00000202079,2019-04,14400000,cz,75,2.005013
00000202079,2019-05,23200000,cz,88,3.808273
00000202079,2019-06,29800000,cz,66,4.975789
00000202079,2019-07,36800000,cz,70,4.640605
00000202079,2019-08,45300000,cz,85,7.868682
00000202079,2019-09,56200000,cz,109,6.553936
00000202079,2019-10,67000000,cz,108,7.399227
00000202079,2019-11,77000000,cz,100,6.398006
00000202079,2020-02,84900000,cz,79,11.976301
00000204629,2019-06,5600000,cz,56,0.935048
00000204629,2019-07,10500000,cz,49,1.324086
00000204629,2019-09,16900000,cz,64,1.970845
00000204629,2019-11,22300000,cz,54,1.852929
00000204629,2020-02,27800000,cz,55,3.921569
00000204634,2019-03,16100000,cz,161,2.392629
00000204634,2019-05,36300000,cz,202,5.958634
00000204634,2019-11,59900000,cz,236,4.97715
00000204634,2020-02,81400000,cz,215,11.482579
00000204648,2019-04,15800000,cz,158,2.199944
00000204648,2019-07,37700000,cz,219,4.754098
00000204648,2019-09,67000000,cz,293,7.813411
00000204648,2019-10,93400000,cz,264,10.314743
00000204648,2019-11,116800000,cz,234,9.705027
00000204648,2019-12,146600000,cz,298,8.452978
00000204648,2020-01,180300000,cz,337,18.480935
00000204653,2019-04,800000,cz,8,0.11139
00000204653,2019-05,2200000,cz,14,0.361129
00000204653,2019-09,4700000,cz,25,0.548105
00000204653,2019-12,7000000,cz,23,0.403621
00000204672,2019-03,2600000,cz,26,0.386387
00000204672,2019-04,6200000,cz,36,0.863269
00000204672,2019-05,11200000,cz,50,1.838477
